"","Mouse_ID","ILWE_Crypto_Ct","Oocyst_Predict_Crypto","Year","Latitude","Longitude","HI","Sex"
"1","AA_0322",22.59,974580,2017,52.2694,13.8339,0.15,"M"
"2","AA_0523",25.33,152390,2017,51.676761,13.679507,0.421052631578947,"M"
"3","AA_0144",26.88,53344,2016,52.7,14.0828,0.869565217,"F"
"4","AA_0325",27.27,40962,2017,53.0497,13.4408,0.8,"M"
"5","AA_0689",28.30151986,20370,2019,52.9789,13.7325,0.6875,"M"
"6","AA_0209",28.47,18174,2016,52.4019,14.0672,0.739130435,"F"
"7","AA_0106",28.54729681,17247,2016,52.9783,13.7336,0.894736842,"M"
"8","AA_0521",28.67,15872,2017,51.676761,13.679507,0.391304347826087,"F"
"9","AA_0282",28.8,14534,2017,52.8969,13.5353,0.166666667,"M"
"10","AA_0337",28.82,14338,2017,52.7667,14.0817,0.913043478,"F"
"11","AA_0900",28.91998426,13400,2021,52.6967,14.0833,0.944444444444444,"M"
"12","AA_0793",29.23189459,10848,2019,53.1422,13.9533,0.8695652174,"F"
"13","AA_0578",29.25,10716,2018,52.2125,14.0922,0.56,"F"
"14","AA_0286",29.45,9358,2017,52.3744,13.7772,0.04,"F"
"15","AA_0667",29.49,9108,2018,53.0706,14.0939,0.84,"F"
"16","AA_0169",29.6,8454,2016,51.853542,13.847336,0.2307692308,"M"
"17","AA_0805",29.68846904,7963,2019,53.1422,13.9533,0.8095238095,"F"
"18","AA_0901",29.69420289,7932,2021,52.6967,14.0833,0.944444444444444,"M"
"19","AA_0101",29.7,7901,2016,51.8625,13.4639,0,"M"
"20","AA_0369",29.73,7742,2017,53.1275,13.4864,0.95,"M"
